domain,segment,tech_or_family,parameter,unit,live_solved,v18_sourced,costdb,live==v18,confidence,gap_flag,refs_citation,costdb_source
INTERCONNECTOR,cross-border-overhead,TRNBTNXXINDEA,ResidualCapacity,GW,5.526,5.992–10.262 (varies),,False,Medium,SOURCED | LIVE≠v18(stale?),"Bhutan Power Corporation Limited (BPC), ""Power Data Book 2024,"" BPC, Thimphu, Bhutan, 2024. [Online]. Available: https://www.bpc.bt/ Bhutan Power Corporation Limited (BPC), ""Nation…",Indian 220/400 kV overhead unit costs
INTERCONNECTOR,cross-border-overhead,TRNBTNXXINDEA,CapacityFactor,fraction,,0.9,,,Medium,SOURCED,"Japan International Cooperation Agency (JICA), ""Bhutan Power System Master Plan 2040,"" JICA/Ministry of Economic Affairs, Thimphu, Bhutan, 2022. [Online]. Available: https://www.ji…",Indian 220/400 kV overhead unit costs
INTERCONNECTOR,cross-border-overhead,TRNBTNXXINDNE,CapitalCost,USD/kW,180.0,180,180,True,Low,LOW-CONFIDENCE,"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India. Bhutan Power Corporation Limited (BPC), ""Power Data Book 2024,"" BPC, Th…",Indian 132 kV cost matrix
INTERCONNECTOR,cross-border-overhead,TRNBTNXXINDNE,FixedCost,USD/kW/yr,2.7,2.7,2.7,True,Low,SOURCED,"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India. Bhutan Power Corporation Limited (BPC), ""Power Data Book 2024,"" BPC, Th…",Indian 132 kV cost matrix
INTERCONNECTOR,cross-border-overhead,TRNBTNXXINDNE,OperationalLife,years,50.0,40,40,False,Low,SOURCED | LIVE≠v18(stale?),"Japan International Cooperation Agency (JICA), ""Bhutan Power System Master Plan 2040,"" JICA/Ministry of Economic Affairs, Thimphu, Bhutan, 2022. [Online]. Available: https://www.ji…",Indian 132 kV cost matrix
INTERCONNECTOR,cross-border-overhead,TRNBTNXXINDNE,ResidualCapacity,GW,0.11,0.17–2.395 (varies),,False,Low,SOURCED | LIVE≠v18(stale?),"Bhutan Power Corporation Limited (BPC), ""Power Data Book 2024,"" BPC, Thimphu, Bhutan, 2024. [Online]. Available: https://www.bpc.bt/ Bhutan Power Corporation Limited (BPC), ""Nation…",Indian 132 kV cost matrix
INTERCONNECTOR,cross-border-overhead,TRNBTNXXINDNE,CapacityFactor,fraction,,0.8,,,Low,SOURCED,"Japan International Cooperation Agency (JICA), ""Bhutan Power System Master Plan 2040,"" JICA/Ministry of Economic Affairs, Thimphu, Bhutan, 2022. [Online]. Available: https://www.ji…",Indian 132 kV cost matrix
INTERCONNECTOR,india-internal,TRNINDEAINDNE,CapitalCost,USD/kW,425.077,220,220,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India.",400 kV AC constrained NE corridor
INTERCONNECTOR,india-internal,TRNINDEAINDNE,FixedCost,USD/kW/yr,1.488,3.3,3.3,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India.",400 kV AC constrained NE corridor
INTERCONNECTOR,india-internal,TRNINDEAINDNE,OperationalLife,years,50.0,50,40,True,Medium,SOURCED,"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in",400 kV AC constrained NE corridor
INTERCONNECTOR,india-internal,TRNINDEAINDNE,ResidualCapacity,GW,3.53,8–10 (varies),,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in Power Grid Corporation of…",400 kV AC constrained NE corridor
INTERCONNECTOR,india-internal,TRNINDEAINDNE,CapacityFactor,fraction,,0.85,,,Medium,SOURCED,"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in",400 kV AC constrained NE corridor
INTERCONNECTOR,india-internal,TRNINDEAINDNO,CapitalCost,USD/kW,608.575,300,300,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India. Power Grid Corporation of India Limited (POWERGRID), ""Transmission Syst…",POWERGRID; Indian 400/765 kV unit-cost matrix
INTERCONNECTOR,india-internal,TRNINDEAINDNO,FixedCost,USD/kW/yr,2.13,4.5,4.5,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India. Power Grid Corporation of India Limited (POWERGRID), ""Transmission Syst…",POWERGRID; Indian 400/765 kV unit-cost matrix
INTERCONNECTOR,india-internal,TRNINDEAINDNO,OperationalLife,years,50.0,50,40,True,Medium,SOURCED,"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in",POWERGRID; Indian 400/765 kV unit-cost matrix
INTERCONNECTOR,india-internal,TRNINDEAINDNO,ResidualCapacity,GW,22.53,20–23 (varies),,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in Power Grid Corporation of…",POWERGRID; Indian 400/765 kV unit-cost matrix
INTERCONNECTOR,india-internal,TRNINDEAINDNO,CapacityFactor,fraction,,0.9,,,Medium,SOURCED,"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in",POWERGRID; Indian 400/765 kV unit-cost matrix
INTERCONNECTOR,india-internal,TRNINDEAINDSO,CapitalCost,USD/kW,666.647,550,550,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India. Power Grid Corporation of India Limited (POWERGRID), ""Transmission Syst…",765 kV/HVDC + Pugalur-N.Trichur VSC calibration
INTERCONNECTOR,india-internal,TRNINDEAINDSO,FixedCost,USD/kW/yr,2.333,8.2,8.2,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India. Power Grid Corporation of India Limited (POWERGRID), ""Transmission Syst…",765 kV/HVDC + Pugalur-N.Trichur VSC calibration
INTERCONNECTOR,india-internal,TRNINDEAINDSO,OperationalLife,years,50.0,50,40,True,Medium,SOURCED,"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in",765 kV/HVDC + Pugalur-N.Trichur VSC calibration
INTERCONNECTOR,india-internal,TRNINDEAINDSO,ResidualCapacity,GW,7.83,15–21 (varies),,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in Power Grid Corporation of…",765 kV/HVDC + Pugalur-N.Trichur VSC calibration
INTERCONNECTOR,india-internal,TRNINDEAINDSO,CapacityFactor,fraction,,0.9,,,Medium,SOURCED,"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in",765 kV/HVDC + Pugalur-N.Trichur VSC calibration
INTERCONNECTOR,india-internal,TRNINDEAINDWE,CapitalCost,,691.399,,,,,EXTRA-not-in-v18,,
INTERCONNECTOR,india-internal,TRNINDEAINDWE,FixedCost,,2.42,,,,,EXTRA-not-in-v18,,
INTERCONNECTOR,india-internal,TRNINDEAINDWE,OperationalLife,,60.0,,,,,EXTRA-not-in-v18,,
INTERCONNECTOR,india-internal,TRNINDEAINDWE,ResidualCapacity,,21.19,,,,,EXTRA-not-in-v18,,
INTERCONNECTOR,india-internal,TRNINDEAINDWE,CapacityFactor,,,,,,,EXTRA-not-in-v18,,
INTERCONNECTOR,cross-border-overhead,TRNINDEANPLXX,CapitalCost,USD/kW,452.923,130,130,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India. World Bank, ""Nepal–India Electricity Transmission and Trade Project,"" W…",Muzaffarpur-Dhalkebar / Inaruwa-Purnia
INTERCONNECTOR,cross-border-overhead,TRNINDEANPLXX,FixedCost,USD/kW/yr,1.585,1.9,1.9,True,Medium,SOURCED,"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India. World Bank, ""Nepal–India Electricity Transmission and Trade Project,"" W…",Muzaffarpur-Dhalkebar / Inaruwa-Purnia
INTERCONNECTOR,cross-border-overhead,TRNINDEANPLXX,OperationalLife,years,50.0,40,40,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in",Muzaffarpur-Dhalkebar / Inaruwa-Purnia
INTERCONNECTOR,cross-border-overhead,TRNINDEANPLXX,ResidualCapacity,GW,1.3,1.2–2.35 (varies),,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in Power Grid Corporation of…",Muzaffarpur-Dhalkebar / Inaruwa-Purnia
INTERCONNECTOR,cross-border-overhead,TRNINDEANPLXX,CapacityFactor,fraction,,0.85,,,Medium,SOURCED,"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in",Muzaffarpur-Dhalkebar / Inaruwa-Purnia
INTERCONNECTOR,india-internal,TRNINDNEINDNO,CapitalCost,,645.703,,,,,EXTRA-not-in-v18,,
INTERCONNECTOR,india-internal,TRNINDNEINDNO,FixedCost,,2.26,,,,,EXTRA-not-in-v18,,
INTERCONNECTOR,india-internal,TRNINDNEINDNO,OperationalLife,,60.0,,,,,EXTRA-not-in-v18,,
INTERCONNECTOR,india-internal,TRNINDNEINDNO,ResidualCapacity,,3.0,,,,,EXTRA-not-in-v18,,
INTERCONNECTOR,india-internal,TRNINDNEINDNO,CapacityFactor,,,,,,,EXTRA-not-in-v18,,
INTERCONNECTOR,india-internal,TRNINDNOINDWE,CapitalCost,USD/kW,573.113,420,420,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India.",765 kV AC/HVDC building blocks
INTERCONNECTOR,india-internal,TRNINDNOINDWE,FixedCost,USD/kW/yr,2.006,6.3,6.3,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India.",765 kV AC/HVDC building blocks
INTERCONNECTOR,india-internal,TRNINDNOINDWE,OperationalLife,years,50.0,50,40,True,Medium,SOURCED,"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in",765 kV AC/HVDC building blocks
INTERCONNECTOR,india-internal,TRNINDNOINDWE,ResidualCapacity,GW,36.72,30,,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in Power Grid Corporation of…",765 kV AC/HVDC building blocks
INTERCONNECTOR,india-internal,TRNINDNOINDWE,CapacityFactor,fraction,,0.9,,,Medium,SOURCED,"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in",765 kV AC/HVDC building blocks
INTERCONNECTOR,cross-border-overhead,TRNINDNONPLXX,CapitalCost,USD/kW,488.147,100,100,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India. World Bank, ""Nepal–India Electricity Transmission and Trade Project,"" W…",WB Nepal-India ETTP line components
INTERCONNECTOR,cross-border-overhead,TRNINDNONPLXX,FixedCost,USD/kW/yr,1.708,1.5,1.5,True,Medium,SOURCED,"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India. World Bank, ""Nepal–India Electricity Transmission and Trade Project,"" W…",WB Nepal-India ETTP line components
INTERCONNECTOR,cross-border-overhead,TRNINDNONPLXX,OperationalLife,years,50.0,40,40,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in",WB Nepal-India ETTP line components
INTERCONNECTOR,cross-border-overhead,TRNINDNONPLXX,ResidualCapacity,GW,1.2,0.5–2.65 (varies),,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in Power Grid Corporation of…",WB Nepal-India ETTP line components
INTERCONNECTOR,cross-border-overhead,TRNINDNONPLXX,CapacityFactor,fraction,,0.8,,,Medium,SOURCED,"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in",WB Nepal-India ETTP line components
INTERCONNECTOR,india-internal,TRNINDSOINDWE,CapitalCost,USD/kW,496.953,320,320,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India.",400/765 kV AC medium-long corridor
INTERCONNECTOR,india-internal,TRNINDSOINDWE,FixedCost,USD/kW/yr,1.739,4.8,4.8,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India.",400/765 kV AC medium-long corridor
INTERCONNECTOR,india-internal,TRNINDSOINDWE,OperationalLife,years,50.0,50,40,True,Medium,SOURCED,"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in",400/765 kV AC medium-long corridor
INTERCONNECTOR,india-internal,TRNINDSOINDWE,ResidualCapacity,GW,18.12,25–30 (varies),,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in Power Grid Corporation of…",400/765 kV AC medium-long corridor
INTERCONNECTOR,india-internal,TRNINDSOINDWE,CapacityFactor,fraction,,0.9,,,Medium,SOURCED,"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in",400/765 kV AC medium-long corridor
INTERCONNECTOR,submarine-HVDC,TRNINDSOLKAXX,CapitalCost,USD/kW,507.844,1031,1031,False,Medium,SOURCED | LIVE≠v18(stale?),"USAID/USTDA, ""India–Sri Lanka HVDC Interconnection Feasibility Study,"" 2012. [Online]. Available: https://en.wikipedia.org/wiki/India-Sri_Lanka_HVDC_Interconnection","USAID/USTDA feasibility ~$1,031m/1000MW (2012$)"
INTERCONNECTOR,submarine-HVDC,TRNINDSOLKAXX,FixedCost,USD/kW/yr,1.778,15.5,15.5,False,Medium,SOURCED | LIVE≠v18(stale?),"USAID/USTDA, ""India–Sri Lanka HVDC Interconnection Feasibility Study,"" 2012. [Online]. Available: https://en.wikipedia.org/wiki/India-Sri_Lanka_HVDC_Interconnection","USAID/USTDA feasibility ~$1,031m/1000MW (2012$)"
INTERCONNECTOR,submarine-HVDC,TRNINDSOLKAXX,OperationalLife,years,50.0,40,40,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in","USAID/USTDA feasibility ~$1,031m/1000MW (2012$)"
INTERCONNECTOR,submarine-HVDC,TRNINDSOLKAXX,ResidualCapacity,GW,0.0,0–1 (varies),,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in Power Grid Corporation of…","USAID/USTDA feasibility ~$1,031m/1000MW (2012$)"
INTERCONNECTOR,submarine-HVDC,TRNINDSOLKAXX,CapacityFactor,fraction,,0.85,,,Medium,SOURCED,"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in","USAID/USTDA feasibility ~$1,031m/1000MW (2012$)"
INTERCONNECTOR,submarine-HVDC,TRNLKAXXMDVXX,CapitalCost,,507.844,,,,,EXTRA-not-in-v18,,
INTERCONNECTOR,submarine-HVDC,TRNLKAXXMDVXX,FixedCost,,1.778,,,,,EXTRA-not-in-v18,,
INTERCONNECTOR,submarine-HVDC,TRNLKAXXMDVXX,OperationalLife,,60.0,,,,,EXTRA-not-in-v18,,
INTERCONNECTOR,submarine-HVDC,TRNLKAXXMDVXX,ResidualCapacity,,0.0,,,,,EXTRA-not-in-v18,,
INTERCONNECTOR,submarine-HVDC,TRNLKAXXMDVXX,CapacityFactor,,,,,,,EXTRA-not-in-v18,,
INTERCONNECTOR,submarine-HVDC,TRNMDVXXINDSO,CapitalCost,USD/kW,1600.0,1600,1600,True,Low,LOW-CONFIDENCE,"Power Finance Corporation Consulting Ltd. (PFCCL), ""Subsea Cable Feasibility Tender,"" PFCCL, New Delhi, India, Jan. 2025.","PFCCL 2025 concept (400 MW, 750 km)"
INTERCONNECTOR,submarine-HVDC,TRNMDVXXINDSO,FixedCost,USD/kW/yr,24.0,24,24,True,Low,SOURCED,"Power Finance Corporation Consulting Ltd. (PFCCL), ""Subsea Cable Feasibility Tender,"" PFCCL, New Delhi, India, Jan. 2025.","PFCCL 2025 concept (400 MW, 750 km)"
INTERCONNECTOR,submarine-HVDC,TRNMDVXXINDSO,OperationalLife,years,50.0,30,40,False,Low,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in","PFCCL 2025 concept (400 MW, 750 km)"
INTERCONNECTOR,submarine-HVDC,TRNMDVXXINDSO,ResidualCapacity,GW,0.0,0,,True,Low,SOURCED,"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in Power Grid Corporation of…","PFCCL 2025 concept (400 MW, 750 km)"
INTERCONNECTOR,submarine-HVDC,TRNMDVXXINDSO,CapacityFactor,fraction,,0.8,,,Low,SOURCED,"Central Electricity Authority (CEA), ""Manual on Transmission Planning Criteria 2023,"" CEA, New Delhi, India, 2023. [Online]. Available: https://cea.nic.in","PFCCL 2025 concept (400 MW, 750 km)"
INTERCONNECTOR,cross-border-via-India,TRNNPLXXBGDXX,CapitalCost,USD/kW,450.0,450,,True,,GAP-no-citation,[Pending — corridor not in SoAsia_OSTRAM_Cost_Database.xlsx],
INTERCONNECTOR,cross-border-via-India,TRNNPLXXBGDXX,FixedCost,USD/kW/yr,6.8,6.8,,True,,GAP-no-citation,[Pending — corridor not in SoAsia_OSTRAM_Cost_Database.xlsx],
INTERCONNECTOR,cross-border-via-India,TRNNPLXXBGDXX,OperationalLife,years,40.0,40,,True,,SOURCED,"Power Division, MoPEMR / JICA / IEEJ, ""Integrated Energy and Power Master Plan (IEPMP) 2023,"" Government of the People's Republic of Bangladesh, Dhaka, Nov. 2023. [Online]. Availab…",
INTERCONNECTOR,cross-border-via-India,TRNNPLXXBGDXX,ResidualCapacity,GW,0.04,0–1.04 (varies),,False,,SOURCED | LIVE≠v18(stale?),"Power Grid Company of Bangladesh (PGCB), ""Transmission Information,"" PGCB, Dhaka, Bangladesh, Dec. 2025. [Online]. Available: https://www.pgcb.gov.bd/ Bangladesh Power Development …",
INTERCONNECTOR,cross-border-via-India,TRNNPLXXBGDXX,CapacityFactor,fraction,,0.8,,,,SOURCED,"Power Division, MoPEMR / JICA / IEEJ, ""Integrated Energy and Power Master Plan (IEPMP) 2023,"" Government of the People's Republic of Bangladesh, Dhaka, Nov. 2023. [Online]. Availab…",
INTERNAL,internal-RE,RNWTRN,CapitalCost,,100.0,YAML:100,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-RE,RNWTRN,FixedCost,,4.0,YAML:4,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-RE,RNWTRN,OperationalLife,,50.0,YAML:20,,False,,DRIFT: live≠YAML,,
